Image	Covid
1F6343EE-AFEC-4B7D-97F5-62797EE18767.jpeg	1
23E99E2E-447C-46E5-8EB2-D35D12473C39.png	1
2966893D-5DDF-4B68-9E2B-4979D5956C8E.jpeg	1
2B8649B2-00C4-4233-85D5-1CE240CF233B.jpeg	1
2C10A413-AABE-4807-8CCE-6A2025594067.jpeg	1
2C26F453-AF3B-4517-BB9E-802CF2179543.jpeg	1
31BA3780-2323-493F-8AED-62081B9C383B.jpeg	1
353889E0-A1E8-4F9E-A0B8-F24F36BCFBFB.jpeg	1
39EE8E69-5801-48DE-B6E3-BE7D1BCF3092.jpeg	1
41591_2020_819_Fig1_HTML.webp-day10.png	1
41591_2020_819_Fig1_HTML.webp-day5.png	1
446B2CB6-B572-40AB-B01F-1910CA07086A.jpeg	1
53EC07C9-5CC6-4BE4-9B6F-D7B0D72AAA7E.jpeg	1
58cb9263f16e94305c730685358e4e_jumbo.jpeg	1
5931B64A-7B97-485D-BE60-3F1EA76BC4F0.jpeg	1
5A78BCA9-5B7A-440D-8A4E-AE7710EA6EAD.jpeg	1
5CBC2E94-D358-401E-8928-965CCD965C5C.jpeg	1
5e6dd879fde9502400e58b2f.jpeg	1
6b44464d-73a7-4cf3-bbb6-ffe7168300e3.annot.original.jpeg	1
6C94A287-C059-46A0-8600-AFB95F4727B7.jpeg	1
6CB4EFC6-68FA-4CD5-940C-BEFA8DAFE9A7.jpeg	1
7AF6C1AF-D249-4BD2-8C26-449304105D03.jpeg	1
7C69C012-7479-493F-8722-ABC29C60A2DD.jpeg	1
7D2CF6CE-F529-4470-8356-D33FFAF98600.jpeg	1
7E335538-2F86-424E-A0AB-6397783A38D0.jpeg	1
7EF28E12-F628-4BEC-A8C5-E6277C2E4F60.png	1
80446565-E090-4187-A031-9D3CEAA586C8.jpeg	1
85E52EB3-56E9-4D67-82DA-DEA247C82886.jpeg	1
8FDE8DBA-CFBD-4B4C-B1A4-6F36A93B7E87.jpeg	1
93FE0BB1-022D-4F24-9727-987A07975FFB.jpeg	1
9C34AF49-E589-44D5-92D3-168B3B04E4A6.jpeg	1
9fdd3c3032296fd04d2cad5d9070d4_jumbo.jpeg	1
all14238-fig-0001-m-b.jpg	1
all14238-fig-0001-m-c.jpg	1
all14238-fig-0002-m-d.jpg	1
all14238-fig-0002-m-e.jpg	1
all14238-fig-0002-m-f.jpg	1
auntminnie-a-2020_01_28_23_51_6665_2020_01_28_Vietnam_coronavirus.jpeg	1
auntminnie-b-2020_01_28_23_51_6665_2020_01_28_Vietnam_coronavirus.jpeg	1
auntminnie-c-2020_01_28_23_51_6665_2020_01_28_Vietnam_coronavirus.jpeg	1
auntminnie-d-2020_01_28_23_51_6665_2020_01_28_Vietnam_coronavirus.jpeg	1
B2D20576-00B7-4519-A415-72DE29C90C34.jpeg	1
B59DD164-51D5-40DF-A926-6A42DD52EBE8.jpeg	1
C6EA0BE5-B01E-4113-B194-18D956675E25.jpeg	1
CD50BA96-6982-4C80-AE7B-5F67ACDBFA56.jpeg	1
ciaa199.pdf-001-a.png	1
ciaa199.pdf-001-b.png	1
ciaa199.pdf-001-c.png	1
covid-19-infection-exclusive-gastrointestinal-symptoms-pa.png	1
covid-19-pneumonia-12.jpg	1
covid-19-pneumonia-14-PA.png	1
covid-19-pneumonia-15-PA.jpg	1
covid-19-pneumonia-19.jpg	1
covid-19-pneumonia-2.jpg	1
covid-19-pneumonia-24-day12.jpg	1
covid-19-pneumonia-24-day6.jpg	1
covid-19-pneumonia-24-day7.jpg	1
covid-19-pneumonia-28.png	1
covid-19-pneumonia-30-PA.jpg	1
covid-19-pneumonia-7-PA.jpg	1
covid-19-pneumonia-evolution-over-a-week-1-day0-PA.jpg	1
covid-19-pneumonia-evolution-over-a-week-1-day3.jpg	1
covid-19-pneumonia-evolution-over-a-week-1-day4.jpg	1
covid-19-pneumonia-rapidly-progressive-12-hours.jpg	1
covid-19-pneumonia-rapidly-progressive-3-days.jpg	1
covid-19-pneumonia-rapidly-progressive-admission.jpg	1
covid-19-rapidly-progressive-acute-respiratory-distress-syndrome-ards-admission.jpg	1
covid-19-rapidly-progressive-acute-respiratory-distress-syndrome-ards-day-1.jpg	1
covid-19-rapidly-progressive-acute-respiratory-distress-syndrome-ards-day-2.jpg	1
D7AF463C-2369-492D-908D-BE1911CCD74C.jpeg	1
E1724330-1866-4581-8CD8-CEC9B8AFEDDE.jpeg	1
E63574A7-4188-4C8D-8D17-9D67A18A1AFA.jpeg	1
F2DE909F-E19C-4900-92F5-8F435B031AC6.jpeg	1
F4341CE7-73C9-45C6-99C8-8567A5484B63.jpeg	1
F63AB6CE-1968-4154-A70F-913AF154F53D.jpeg	1
FE9F9A5D-2830-46F9-851B-1FF4534959BE.jpeg	1
figure1-5e71be566aa8714a04de3386-98-left.jpeg	1
figure1-5e73d7ae897e27ff066a30cb-98.jpeg	1
